State,Name,Zip,Latitude,Longitude,Link
Alaska,Careline Alaska,99701, 64.56079, -147.67281,https://carelinealaska.com/
Alabama,Crisis Center,35222, 33.52338, -86.76746,https://www.crisiscenterbham.org/
Alabama,Wellstone,35802,34.66918,-86.56031,https://wellstone.com/
Alabama,AltaPointe Health,36693,30.62677,-88.15073,https://altapointe.org/
Alabama,Carastar Health,36109,32.39038,-86.24117,https://www.carastar.org/
Arkansas,Western Arkansas Counseling,72903,35.35380,-94.35634,https://wacgc.org/
Arkansas,Arkansas Lifeline Call Center,72205,34.74488,-92.34655,https://www.healthy.arkansas.gov/programs-services/topics/suicide-prevention
Arkansas,Arkansas Crisis Center,72576,36.37723,-91.86010,https://www.arcrisis.org/
Arizona,La Frontera EMPACT - Suicide Prevention Center,85281,33.43570,-111.92784,http://lafronteraaz-empact.org/
Arizona,Solari Inc.,85281,33.43570,-111.92784,https://crisis.solari-inc.org/
California,Kern Behavior Health & Recovery Services Hotline,93302,35.37360,-119.01760,https://www.kernbhrs.org/
California,Suicide Prevention Center Didi Hirsch Mental Health Services,90062,34.00365,-118.30972,https://didihirsch.org/get-involved/volunteer/
California,Central Valley Suicide Prevention Hotline - Kings View -,90067,34.05775,-118.41380,https://www.kingsview.org/
California,Buckelew Suicide Prevention Program,94949,38.06977,-122.54448,https://buckelew.org/
California,Crisis Support Services of Alemeda County,94546,37.74827,-122.11632,https://www.crisissupport.org/
California,WellSpace Health,95828,38.48881,-121.40283,https://www.wellspacehealth.org/services/behavioral-health-prevention/suicide-prevention
California,StarVista,94119,37.77530,-122.41860,https://star-vista.org/
California,Optum,92108,32.77400,-117.14745,https://www.optumsandiego.com/
California,San Francisco Suicide Prevention Felton Institude,94119,37.77530,-122.41860,https://felton.org/social-services/adult/san-francisco-suicide-prevention-sfsp/
California,Santa Clara Country Suicide and Crisis Services,95112,37.34154,-121.88182,https://bhsd.santaclaracounty.gov/home
California,Suicide Prevention Service of the Central Coast,95061,36.97420,-122.02970,https://www.suicidepreventionservicecc.org/
California,Contra Consta Crisis Center,94598,37.89938,-121.99208,https://www.crisis-center.org/
California,The Trevor Project,90069,34.09417,-118.38091,https://www.thetrevorproject.org/
Colorado,Metro Crisis Services dba Rocky Mountain Crisis Partners,80222,39.67299,-104.92613,https://rmcrisispartners.org/
Connecticut,2-1-1/United Way of Connecticut,06067,41.65640,-72.66989,http://www.211ct.org/
District of Columbia,Department of Behavior Health,20002,38.90809,-76.97666,https://dbh.dc.gov/
