RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio
AS,Asia,ARM,Armenia,2021,Male,42,0.24313998,2.61693646,3.00861107,2790974,13878908629,4972.783204,13548071334,15220,7.184836294,56.445
OA,Oceania,AUS,Australia,2021,Male,2358,2.63755439,16.61791394,18.49472398,25685412,1.56E+12,60697.24544,1.47E+12,55570,2.863910422,62.478
CSA,Central and South America,ARG,Argentina,2021,Male,2280,1.00244897,10.00288526,10.24507937,45808747,4.88E+11,10650.86046,4.57E+11,23350,,55.085
EU,Europe,AUT,Austria,2021,Male,879,1.91045425,13.5629348,19.9390351,8955797,4.79E+11,53517.89045,4.76E+11,60760,2.766666667,57.2
EU,Europe,BGR,Bulgaria,2021,Male,432,0.55886881,9.06383324,12.97097474,6877743,84041493016,12219.34187,75965019544,26860,3.297744353,52.348
NAC,North America and the Caribbean,CAN,Canada,2021,Male,2822,1.7236114,13.19855039,14.93287456,38226498,2.01E+12,52515.19984,1.87E+12,52720,3.395193185,60.17
EU,Europe,CHE,Switzerland,2021,Male,723,2.05941835,12.34529455,16.71503546,8704546,8.13E+11,93446.43445,7.90E+11,75960,0.581814168,63.944
CSA,Central and South America,CHL,Chile,2021,Male,1267,1.72533533,12.09536611,13.37155184,19493184,3.17E+11,16240.60778,2.88E+11,26680,4.524568383,52.209
CSA,Central and South America,COL,Colombia,2021,Male,2466,1.20042643,9.38737058,9.7968298,51516562,3.19E+11,6182.707099,3.20E+11,16810,3.495057574,55.388
AS,Asia,CYP,Cyprus,2021,Male,14,0.36448841,2.9607554,3.1740058,1244188,29482917679,32745.84375,26555597365,42060,2.446088672,59.036
EU,Europe,CZE,Czechia,2021,Male,966,1.31389244,14.48437258,18.67043322,10505772,2.82E+11,26822.51419,2.58E+11,43770,3.839844915,58.155
NAC,North America and the Caribbean,CUB,Cuba,2021,Male,1476,1.60410372,18.02419386,26.27307371,11256372,,,,,,53.125
EU,Europe,DNK,Denmark,2021,Male,384,1.41613807,9.76951655,13.19341443,5856733,4.06E+11,69268.6518,4.09E+11,68700,1.85304544,59.388
CSA,Central and South America,ECU,Ecuador,2021,Male,703,1.17151047,7.96091969,7.85898455,17797737,1.06E+11,5965.132871,1.06E+11,11590,0.133251386,62.787
EU,Europe,ESP,Spain,2021,Male,2982,1.28862193,9.23614164,12.85828343,47415794,1.45E+12,30488.82095,1.43E+12,41500,3.09313512,48.931
EU,Europe,EST,Estonia,2021,Male,149,1.71205331,19.56226854,23.69272602,1330932,37191166152,27943.70122,34958480595,42410,4.653166738,59.325
EU,Europe,FIN,Finland,2021,Male,524,1.79821551,16.08499148,19.13488064,5541017,2.96E+11,53504.69365,2.95E+11,55630,2.194574323,55.201
AS,Asia,GEO,Georgia,2021,Male,154,0.51067781,8.02051777,8.63660045,3708610,18629365612,5023.274384,17421883448,16020,9.566914338,56.527
