RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio
NAC,North America and the Caribbean,USA,United States of America,1991,Male,24769,2.20823508,18.96496653,20.14083705,252981000,6.16E+12,24342.2589,6.14E+12,24100,4.234963965,60.343
NAC,North America and the Caribbean,USA,United States of America,1991,Female,6041,0.57651216,4.32091893,4.67576897,252981000,6.16E+12,24342.2589,6.14E+12,24100,4.234963965,60.343
NAC,North America and the Caribbean,USA,United States of America,1992,Male,24457,2.1791157,18.49913596,19.64731712,256514000,6.52E+12,25418.99078,6.59E+12,25090,3.028819678,60.119
NAC,North America and the Caribbean,USA,United States of America,1992,Female,6027,0.57221415,4.23460046,4.61494639,256514000,6.52E+12,25418.99078,6.59E+12,25090,3.028819678,60.119
NAC,North America and the Caribbean,USA,United States of America,1993,Male,25007,2.15244143,18.73786188,19.87831517,259919000,6.86E+12,26387.29373,6.86E+12,25910,2.951656966,60.412
NAC,North America and the Caribbean,USA,United States of America,1993,Female,6095,0.55070856,4.26769556,4.61803298,259919000,6.86E+12,26387.29373,6.86E+12,25910,2.951656966,60.412
NAC,North America and the Caribbean,USA,United States of America,1994,Male,25174,2.16504536,18.71693062,19.81012997,263126000,7.29E+12,27694.85342,7.28E+12,27250,2.607441592,61.22
NAC,North America and the Caribbean,USA,United States of America,1994,Female,5968,0.53464869,4.1195706,4.47830857,263126000,7.29E+12,27694.85342,7.28E+12,27250,2.607441592,61.22
NAC,North America and the Caribbean,USA,United States of America,1995,Male,25369,2.1628207,18.65500765,19.77106126,266278000,7.64E+12,28690.8757,7.73E+12,28450,2.805419689,61.613
NAC,North America and the Caribbean,USA,United States of America,1995,Female,5915,0.51923632,4.02667248,4.39968313,266278000,7.64E+12,28690.8757,7.73E+12,28450,2.805419689,61.613
